#	symbol	entrez	ensembl
ZIC2	7546	ENSG00000043355
RNLS	55328	ENSG00000184719
TINCR	257000	ENSG00000223573
SYN1	6853	ENSG00000008056
GNG7	2788	ENSG00000176533
CDH20	28316	ENSG00000101542
BTBD9	114781	ENSG00000183826
HSF2BP	11077	ENSG00000160207
LNX2	222484	ENSG00000139517
TLL2	7093	ENSG00000095587
YJU2	55702	ENSG00000105248
GSX1	219409	ENSG00000169840
PDX1	3651	ENSG00000139515
SEMA7A	8482	ENSG00000288455
POLR1D	51082	ENSG00000186184
GNA15	2769	ENSG00000060558
SKOR1	390598	ENSG00000188779
H2BS1	54145	ENSG00000234289
H2BS1	102724334	ENSG00000234289
DNMT3L	29947	ENSG00000142182
PDZD2	23037	ENSG00000133401
SPON1	10418	ENSG00000262655
ELK1	2002	ENSG00000126767
PTPN2	5771	ENSG00000175354
LIG4	3981	ENSG00000174405
NRBF2	29982	ENSG00000148572
THAP10	56906	ENSG00000129028
PGK2	5232	ENSG00000170950
DYDC1	143241	ENSG00000170788
SAFB	6294	ENSG00000160633
GALC	2581	ENSG00000054983
CD83	9308	ENSG00000112149
CORO2B	10391	ENSG00000103647
CLYBL	171425	ENSG00000125246
UXT	8409	ENSG00000126756
AIRE	326	ENSG00000160224
UBL7	84993	ENSG00000288408
MADD	8567	ENSG00000110514
ITGBL1	9358	ENSG00000198542
CYP2C19	1557	ENSG00000165841
TBC1D22B	55633	ENSG00000065491
C20orf144	128864	ENSG00000149609
E2F1	1869	ENSG00000101412
ELOVL5	60481	ENSG00000012660
TNKS2	80351	ENSG00000107854
FOXB1	27023	ENSG00000171956
SULF1	23213	ENSG00000137573
PXMP4	11264	ENSG00000101417
TIMP1	7076	ENSG00000102265
GCHFR	2644	ENSG00000137880
GRAMD4	23151	ENSG00000075240
PFKL	5211	ENSG00000141959
CCNH	902	ENSG00000134480
CA12	771	ENSG00000074410
CHMP4B	128866	ENSG00000101421
KCNK5	8645	ENSG00000164626
ZMYM3	9203	ENSG00000147130
CRTAC1	55118	ENSG00000095713
TCTE1	202500	ENSG00000146221
FBXO39	162517	ENSG00000177294
SUPT20H	55578	ENSG00000102710
FAM48A	55578	ENSG00000102710
L3MBTL1	26013	ENSG00000185513
HMGA1	3159	ENSG00000137309
CELSR1	9620	ENSG00000075275
NATD1	256302	ENSG00000274180
CPD	1362	ENSG00000108582
RNF8	9025	ENSG00000112130
DHTKD1	55526	ENSG00000181192
ZNF396	252884	ENSG00000186496
MYO1E	4643	ENSG00000157483
BDKRB1	623	ENSG00000100739
PHLPP1	23239	ENSG00000081913
RANGAP1	5905	ENSG00000100401
CENPQ	55166	ENSG00000031691
CDCA4	55038	ENSG00000170779
ZSWIM6	57688	ENSG00000130449
MAMDC2	256691	ENSG00000165072
RUNX2	860	ENSG00000124813
CYP26C1	340665	ENSG00000187553
WARS1	7453	ENSG00000140105
WARS	7453	ENSG00000140105
RASSF4	83937	ENSG00000107551
ITGA2	3673	ENSG00000164171
CDH19	28513	ENSG00000071991
CFAP410	755	ENSG00000160226
MYO1D	4642	ENSG00000176658
RAD23B	5887	ENSG00000119318
SPESP1	246777	ENSG00000258484
SAFB2	9667	ENSG00000130254
LRRC3	81543	ENSG00000160233
PIK3AP1	118788	ENSG00000155629
LMX1B	4010	ENSG00000136944
TSPEAR	54084	ENSG00000175894
IP6K3	117283	ENSG00000161896
RAB8B	51762	ENSG00000166128
EIF6	3692	ENSG00000242372
ITGB1BP2	26548	ENSG00000147166
GCGR	2642	ENSG00000288269
SMIM21	284274	ENSG00000206026
TREML4	285852	ENSG00000188056
DDX51	317781	ENSG00000288503
CAPS	828	ENSG00000105519
CPN1	1369	ENSG00000120054
KRTAP10-1	386677	ENSG00000215455
POLR2M	81488	ENSG00000255529
GRINL1A	81488	ENSG00000255529
KRTAP10-2	386679	ENSG00000205445
BID	637	ENSG00000015475
B3GAT2	135152	ENSG00000112309
C18orf21	83608	ENSG00000141428
KRTAP10-3	386682	ENSG00000212935
KRTAP10-7	386675	ENSG00000272804
CXCR3	2833	ENSG00000186810
KRTAP10-8	386681	ENSG00000187766
KRTAP10-10	353333	ENSG00000221859
KRTAP10-11	386678	ENSG00000243489
KRTAP12-4	386684	ENSG00000212933
KRTAP12-3	386683	ENSG00000205439
KRTAP12-2	353323	ENSG00000221864
KRTAP12-1	353332	ENSG00000187175
SAYSD1	55776	ENSG00000112167
KRTAP10-12	386685	ENSG00000189169
DAPK1	1612	ENSG00000196730
CLIC2	1193	ENSG00000155962
DLK2	65989	ENSG00000171462
EGFL9	65989	ENSG00000171462
ANKRD2	26287	ENSG00000165887
UBE2G2	7327	ENSG00000184787
PCNA	5111	ENSG00000132646
INSR	3643	ENSG00000171105
NOC4L	79050	ENSG00000288146
H2AB2	83740	ENSG00000277745
C8orf34	116328	ENSG00000165084
ARIH1	25820	ENSG00000166233
APBB1IP	54518	ENSG00000077420
KCTD1	284252	ENSG00000134504
TMLHE	55217	ENSG00000185973
BLMH	642	ENSG00000108578
MCRIP1	348262	ENSG00000288213
CDC5L	988	ENSG00000096401
CDS2	8760	ENSG00000101290
VAMP7	6845	ENSG00000124333
SYBL1	6845	ENSG00000124333
FGFBP3	143282	ENSG00000174721
PTTG1IP	754	ENSG00000183255
CRISP2	7180	ENSG00000124490
GALNT9	50614	ENSG00000288490
PROKR2	128674	ENSG00000101292
SLC39A6	25800	ENSG00000141424
KAT6B	23522	ENSG00000156650
TIMP3	7078	ENSG00000100234
CA3	761	ENSG00000164879
HEL-S-167mP	761	ENSG00000164879
SLX9	85395	ENSG00000160256
PLCB2	5330	ENSG00000137841
CRELD2	79174	ENSG00000184164
OPN1LW	5956	ENSG00000102076
KDM4B	23030	ENSG00000127663
HNF4G	3174	ENSG00000164749
NR2A2	3174	ENSG00000164749
ZBTB14	7541	ENSG00000198081
OPN1MW	2652	ENSG00000268221
ZNF830	91603	ENSG00000198783
SNX5	27131	ENSG00000089006
NSRP1	84081	ENSG00000126653
POFUT2	23275	ENSG00000186866
LGMN	5641	ENSG00000100600
PPP1R27	116729	ENSG00000288186
JMY	133746	ENSG00000152409
BPNT2	54928	ENSG00000104331
IMPAD1	54928	ENSG00000104331
TKTL1	8277	ENSG00000007350
GALR1	2587	ENSG00000166573
PKHD1	5314	ENSG00000170927
GDNF	2668	ENSG00000168621
RBIS	401466	ENSG00000176731
ZNF521	25925	ENSG00000198795
GLRX	2745	ENSG00000173221
UGGT2	55757	ENSG00000102595
IMPACT	55364	ENSG00000154059
SERINC5	256987	ENSG00000164300
FAM50A	9130	ENSG00000071859
CELF5	60680	ENSG00000161082
NXN	64359	ENSG00000167693
COMMD7	149951	ENSG00000149600
PARVB	29780	ENSG00000188677
STAU2	27067	ENSG00000040341
PAK5	57144	ENSG00000101349
PCBP3	54039	ENSG00000183570
CBLN2	147381	ENSG00000141668
GNRH2	2797	ENSG00000125787
NIPBL	25836	ENSG00000164190
PIGG	54872	ENSG00000174227
ITGA11	22801	ENSG00000137809
VAV1	7409	ENSG00000141968
TEFM	79736	ENSG00000172171
C13orf42	647166	ENSG00000226792
CCNK	8812	ENSG00000090061
BANF2	140836	ENSG00000125888
NBEA	26960	ENSG00000172915
TNRC6A	27327	ENSG00000288130
CTSZ	1522	ENSG00000101160
GID4	79018	ENSG00000141034
LGSN	51557	ENSG00000146166
UBL4A	8266	ENSG00000102178
CLBA1	122616	ENSG00000140104
TTC19	54902	ENSG00000011295
SLC29A1	2030	ENSG00000112759
SETDB2	83852	ENSG00000136169
SLC10A3	8273	ENSG00000126903
TXNDC8	255220	ENSG00000204193
PHF11	51131	ENSG00000136147
HACD3	51495	ENSG00000074696
SETD3	84193	ENSG00000183576
ZNF711	7552	ENSG00000147180
MCTS1	28985	ENSG00000288295
TSTD2	158427	ENSG00000136925
TMPRSS2	7113	ENSG00000184012
MBP	4155	ENSG00000197971
RAB9B	51209	ENSG00000123570
C1GALT1C1	29071	ENSG00000288368
TMSB15B	286527	ENSG00000158427
CT47B1	643311	ENSG00000288466
CT47A1	255313	ENSG00000288273
CT47A1	728062	ENSG00000288273
BRINP1	1620	ENSG00000078725
CT47A1	728075	ENSG00000288477
SLC5A11	115584	ENSG00000288216
TOP1	7150	ENSG00000198900
CT47A1	728096	ENSG00000288363
GLUD2	2747	ENSG00000288118
ZC3H7B	23264	ENSG00000100403
AP2B1	163	ENSG00000006125
PLPPR1	54886	ENSG00000148123
RP11-35N6.1	54886	ENSG00000148123
MSL3	10943	ENSG00000005302
RCBTB1	55213	ENSG00000136144
CKMT2	1160	ENSG00000131730
AHNAK2	113146	ENSG00000185567
SKA3	221150	ENSG00000165480
TEF	7008	ENSG00000167074
NCBP1	4686	ENSG00000136937
CINP	51550	ENSG00000100865
PRNP	5621	ENSG00000171867
TOB2	10766	ENSG00000183864
MRPL57	78988	ENSG00000173141
MRP63	78988	ENSG00000173141
PHF5A	84844	ENSG00000100410
PRND	23627	ENSG00000171864
REC114	283677	ENSG00000183324
ZFR2	23217	ENSG00000105278
MICU2	221154	ENSG00000165487
EFHA1	221154	ENSG00000165487
RASSF2	9770	ENSG00000101265
CTDNEP1	23399	ENSG00000288307
POLR3H	171568	ENSG00000100413
TTC7B	145567	ENSG00000165914
GRPEL1	80273	ENSG00000109519
TBC1D21	161514	ENSG00000167139
SLC2A9	56606	ENSG00000109667
FGF9	2254	ENSG00000102678
FGF4B	2254	ENSG00000102678
NFS1	9054	ENSG00000244005
MX1	4599	ENSG00000157601
ADGRE1	2015	ENSG00000174837
ALG5	29880	ENSG00000120697
NPTN	27020	ENSG00000156642
ANXA1	301	ENSG00000135046
OSMR	9180	ENSG00000145623
ARHGAP17	55114	ENSG00000288353
CSDC2	27254	ENSG00000172346
OR5L2	26338	ENSG00000205030
DHX15	1665	ENSG00000109606
PMM1	5372	ENSG00000100417
SDHAF4	135154	ENSG00000154079
FOLH1	2346	ENSG00000086205
IL7	3574	ENSG00000104432
GPR68	8111	ENSG00000119714
MLIP	90523	ENSG00000146147
C6orf142	90523	ENSG00000146147
ZNF516	9658	ENSG00000101493
EXOSC8	11340	ENSG00000120699
DEGS2	123099	ENSG00000168350
CHST9	83539	ENSG00000154080
DESI1	27351	ENSG00000100418
KCNK13	56659	ENSG00000152315
ZNF595	152687	ENSG00000272602
MPI	4351	ENSG00000178802
MX2	4600	ENSG00000183486
ELP5	23587	ENSG00000288485
HEY1	23462	ENSG00000164683
SPATA31A6	389730	ENSG00000185775
TDP1	55775	ENSG00000042088
SHLD3	112441434	ENSG00000253251
ZNF397	84307	ENSG00000186812
GCNT1	2650	ENSG00000187210
XRCC6	2547	ENSG00000196419
ATG10	83734	ENSG00000152348
CPZ	8532	ENSG00000109625
DNAJA1	3301	ENSG00000086061
ROMO1	140823	ENSG00000125995
LCA5L	150082	ENSG00000157578
PCSK5	5125	ENSG00000099139
RBM39	9584	ENSG00000131051
RASGRF2	5924	ENSG00000113319
TMEM241	85019	ENSG00000134490
STK32B	55351	ENSG00000152953
ZNF77	58492	ENSG00000175691
RP11-301I17.1	55068	ENSG00000120658
ENOX1	55068	ENSG00000120658
GNA11	2767	ENSG00000088256
SLC35B2	347734	ENSG00000157593
CALB1	793	ENSG00000104327
ZNF25	219749	ENSG00000175395
CCDC122	160857	ENSG00000151773
ATP5PF	522	ENSG00000154723
ATP5J	522	ENSG00000154723
DYDC2	84332	ENSG00000133665
CLDN7	1366	ENSG00000288292
LACC1	144811	ENSG00000179630
BTBD2	55643	ENSG00000133243
C9orf57	138240	ENSG00000204669
LAMP1	3916	ENSG00000185896
CYB5R4	51167	ENSG00000065615
MARCHF5	54708	ENSG00000198060
MSX1	4487	ENSG00000163132
NECAB1	64168	ENSG00000123119
GRTP1	79774	ENSG00000139835
CYTL1	54360	ENSG00000170891
IPMK	253430	ENSG00000151151
SLC2A4	6517	ENSG00000288174
TLE1	7088	ENSG00000196781
CHUK	1147	ENSG00000213341
TRMT44	152992	ENSG00000155275
THEG	51298	ENSG00000105549
CCT6B	10693	ENSG00000132141
SGTB	54557	ENSG00000197860
DCUN1D2	55208	ENSG00000150401
EVL	51466	ENSG00000196405
SPATC1L	84221	ENSG00000160284
ME1	4199	ENSG00000065833
GEM	2669	ENSG00000164949
LSS	4047	ENSG00000160285
GOLPH3	64083	ENSG00000113384
FEM1B	10116	ENSG00000169018
TBC1D14	57533	ENSG00000132405
SVIP	258010	ENSG00000198168
MATK	4145	ENSG00000007264
TMCO3	55002	ENSG00000150403
ANKRD34B	340120	ENSG00000189127
MAT1A	4143	ENSG00000151224
ELP2	55250	ENSG00000134759
ZBTB10	65986	ENSG00000205189
YBX2	51087	ENSG00000288504
DNAJC24	120526	ENSG00000170946
ZCSL3	120526	ENSG00000170946
SNU13	4809	ENSG00000100138
NHP2L1	4809	ENSG00000100138
PRIM2	5558	ENSG00000146143
PRIM2A	5558	ENSG00000146143
ACTBL2	345651	ENSG00000169067
PML	5371	ENSG00000140464
NUDT12	83594	ENSG00000112874
SFRP5	6425	ENSG00000120057
ASB6	140459	ENSG00000148331
CPEB3	22849	ENSG00000107864
TFDP1	7027	ENSG00000198176
LDHC	3948	ENSG00000166796
GPBP1	65056	ENSG00000062194
MMP16	4325	ENSG00000156103
HSCB	150274	ENSG00000100209
RP3-366L4.2	150274	ENSG00000100209
EIF5A	1984	ENSG00000288145
GAS1	2619	ENSG00000180447
RHBDL3	162494	ENSG00000141314
FGD3	89846	ENSG00000127084
EXOC6	54536	ENSG00000138190
SPDEF	25803	ENSG00000124664
ADPRHL1	113622	ENSG00000153531
CHEK2	11200	ENSG00000183765
PSKH2	85481	ENSG00000147613
POU3F2	5454	ENSG00000184486
TLR7	51284	ENSG00000196664
DRD5	1816	ENSG00000169676
PRDM14	63978	ENSG00000147596
ZC3H13	23091	ENSG00000123200
XAGE1A	653220	ENSG00000204379
MRAP2	112609	ENSG00000135324
LDB2	9079	ENSG00000169744
NEK5	341676	ENSG00000197168
ZNF451	26036	ENSG00000112200
FABP5	2171	ENSG00000164687
PRPSAP2	5636	ENSG00000141127
SSX7	280658	ENSG00000187754
RPL10L	140801	ENSG00000165496
SPANXN5	494197	ENSG00000204363
ACTR10	55860	ENSG00000131966
GPS2	2874	ENSG00000288325
FTCD	10841	ENSG00000160282
SCML1	6322	ENSG00000047634
XPO4	64328	ENSG00000132953
BICC1	80114	ENSG00000122870
RFK	55312	ENSG00000135002
CHST3	9469	ENSG00000122863
MARVELD1	83742	ENSG00000155254
F8A1	474384	ENSG00000277150
PABPC1L2A	645974	ENSG00000184388
RHOXF2B	727940	ENSG00000203989
MSH3	4437	ENSG00000113318
RBMXL3	139804	ENSG00000175718
SSX2	727837	ENSG00000268447
INVS	27130	ENSG00000119509
ACP1	52	ENSG00000143727
MYCBP2	23077	ENSG00000005810
OR5D14	219436	ENSG00000186113
MYO1F	4542	ENSG00000142347
HMX1	3166	ENSG00000215612
SCD	6319	ENSG00000099194
HLCS	3141	ENSG00000159267
GSKIP	51527	ENSG00000100744
C14orf129	51527	ENSG00000100744
LGR4	55366	ENSG00000205213
ADARB1	104	ENSG00000197381
ADGRA3	166647	ENSG00000152990
HOGA1	112817	ENSG00000241935
LANCL3	347404	ENSG00000147036
PPM2C	54704	ENSG00000164951
PDP1	54704	ENSG00000164951
FAM236A	100129407	ENSG00000275520
C10orf62	414157	ENSG00000203942
HSFX4	101927685	ENSG00000283463
MTMR6	9107	ENSG00000139505
ZNF275	10838	ENSG00000063587
ZNF275	105373378	ENSG00000063587
BTRC	8945	ENSG00000166167
TRPA1	8989	ENSG00000104321
ZNF157	7712	ENSG00000147117
KTN1	3895	ENSG00000126777
RPS10	6204	ENSG00000124614
MAGED1	9500	ENSG00000179222
KDM5A	5927	ENSG00000073614
MPHOSPH8	54737	ENSG00000196199
NEURL4	84461	ENSG00000288301
SMC2	10592	ENSG00000136824
SMC2L1	10592	ENSG00000136824
OR5D13	390142	ENSG00000279761
OR9Q1	219956	ENSG00000186509
PSPC1	55269	ENSG00000121390
WDFY2	115825	ENSG00000139668
OR4C16	219428	ENSG00000279514
GPR78	27201	ENSG00000155269
PRDM1	639	ENSG00000057657
PTGDR2	11251	ENSG00000183134
TRIM44	54765	ENSG00000166326
TMEM259	91304	ENSG00000182087
TPO	7173	ENSG00000115705
DHRS12	79758	ENSG00000102796
OSBP	5007	ENSG00000110048
CDH17	1015	ENSG00000079112
CD226	10666	ENSG00000150637
FLJ11017	55286	ENSG00000154274
C4orf19	55286	ENSG00000154274
DNTT	1791	ENSG00000107447
EXOC1	55763	ENSG00000090989
OR4S1	256148	ENSG00000176555
OR10W1	81341	ENSG00000172772
OR5B17	219965	ENSG00000197786
RNF125	54941	ENSG00000101695
LOC112267897	112267897	ENSG00000237378
SPZ1	84654	ENSG00000164299
OR4A5	81318	ENSG00000221840
LMO7	4008	ENSG00000136153
TLE2	7089	ENSG00000065717
CD180	4064	ENSG00000134061
IQCH	64799	ENSG00000103599
FTH1	2495	ENSG00000167996
IQSEC3	440073	ENSG00000120645
NUDT3	11165	ENSG00000272325
IL7R	3575	ENSG00000168685
NAALAD2	10003	ENSG00000285516
DUSP14	11072	ENSG00000276023
PIGN	23556	ENSG00000197563
PAQR8	85315	ENSG00000170915
FAM171A1	221061	ENSG00000148468
LIG3	3980	ENSG00000005156
GLYATL3	389396	ENSG00000203972
CD109	135228	ENSG00000156535
OR1L4	254973	ENSG00000136939
C12orf4	57102	ENSG00000047621
MSANTD3-TMEFF1	100526694	ENSG00000251349
ZNF33A	7581	ENSG00000189180
NSMAF	8439	ENSG00000035681
COX7C	1350	ENSG00000127184
SUSD3	203328	ENSG00000157303
CEP162	22832	ENSG00000135315
INCENP	3619	ENSG00000149503
RGS7BP	401190	ENSG00000186479
PUDP	8226	ENSG00000130021
KCNE1	3753	ENSG00000180509
FAM155B	27112	ENSG00000130054
DEPP1	11067	ENSG00000165507
COMT	1312	ENSG00000093010
CPNE1	8904	ENSG00000214078
COL6A1	1291	ENSG00000142156
TBC1D19	55296	ENSG00000109680
TEX13A	56157	ENSG00000268629
MORN4	118812	ENSG00000171160
LOC118812	118812	ENSG00000171160
SLF1	84250	ENSG00000133302
UBAC1	10422	ENSG00000130560
PNMA6A	84968	ENSG00000235961
COL4A5	1287	ENSG00000188153
COX5A	9377	ENSG00000178741
CHORDC1	26973	ENSG00000285023
GSTO1	9446	ENSG00000148834
HEL-S-21	9446	ENSG00000148834
CDC14B	8555	ENSG00000081377
SLC2A3	6515	ENSG00000059804
ACAP1	9744	ENSG00000288169
CCDC33	80125	ENSG00000140481
CCNO	10309	ENSG00000152669
MRPL54	116541	ENSG00000183617
MRPL45	84311	ENSG00000278845
PRLR	5618	ENSG00000113494
MTDH	92140	ENSG00000147649
FRAT1	10023	ENSG00000165879
DOHH	83475	ENSG00000129932
PRR5L	79899	ENSG00000135362
BLOC1S2	282991	ENSG00000196072
SPATS1	221409	ENSG00000249481
OLIG2	10215	ENSG00000205927
NLK	51701	ENSG00000087095
ZNF558	148156	ENSG00000167785
OLIG1	116448	ENSG00000184221
KCNA5	3741	ENSG00000130037
CCDC77	84318	ENSG00000120647
KCTD11	147040	ENSG00000288399
RUNX1T1	862	ENSG00000079102
TMEM95	339168	ENSG00000288511
KIF6	221458	ENSG00000164627
POTED	317754	ENSG00000166351
ARVCF	421	ENSG00000099889
UBTD1	80019	ENSG00000165886
ARHGAP23	57636	ENSG00000275832
COMTD1	118881	ENSG00000165644
COMMD9	29099	ENSG00000110442
ALKAL2	285016	ENSG00000189292
ADAMTS10	81794	ENSG00000142303
UMODL1	89766	ENSG00000177398
AVPI1	60370	ENSG00000119986
SCGB1D2	10647	ENSG00000124935
RRP12	23223	ENSG00000052749
LHX3	8022	ENSG00000107187
ALDH1A2	8854	ENSG00000128918
PPARGC1A	10891	ENSG00000109819
TRAPPC12	51112	ENSG00000171853
ZFP91	80829	ENSG00000186660
PACSIN1	29993	ENSG00000124507
GRB7	2886	ENSG00000141738
NR6A1	2649	ENSG00000148200
TANGO2	128989	ENSG00000183597
GLYAT	10249	ENSG00000149124
RAB33A	9363	ENSG00000134594
ZNF280C	55609	ENSG00000056277
MYDGF	56005	ENSG00000074842
SRSF3	6428	ENSG00000112081
SFRS3	6428	ENSG00000112081
SLC6A13	6540	ENSG00000010379
CCDC179	100500938	ENSG00000255359
ADI1	55256	ENSG00000182551
ZSWIM4	65249	ENSG00000288360
PRMT3	10196	ENSG00000185238
MUC16	94025	ENSG00000181143
FILIP1	27145	ENSG00000118407
AIFM1	9131	ENSG00000156709
GPR63	81491	ENSG00000112218
NANOS3	342977	ENSG00000288505
TREM1	54210	ENSG00000124731
BRME1	79173	ENSG00000288152
PDE4A	5141	ENSG00000065989
MFAP5	8076	ENSG00000197614
CYP39A1	51302	ENSG00000146233
NEO1	4756	ENSG00000067141
STOM	2040	ENSG00000148175
RCAN1	1827	ENSG00000159200
DSCR1	1827	ENSG00000159200
CC2D1A	54862	ENSG00000288293
HARBI1	283254	ENSG00000180423
ACACA	31	ENSG00000278540
OR5I1	10798	ENSG00000167825
OR5W2	390148	ENSG00000187612
TTC17	55761	ENSG00000052841
CAMK4	814	ENSG00000152495
SYK	6850	ENSG00000165025
SLIT2	9353	ENSG00000145147
IBTK	25998	ENSG00000005700
TPTE2	93492	ENSG00000132958
USP25	29761	ENSG00000155313
SLC46A3	283537	ENSG00000139508
LOC283537	283537	ENSG00000139508
ALLC	55821	ENSG00000151360
WNT7A	7476	ENSG00000154764
PODNL1	79883	ENSG00000288195
CDC37	11140	ENSG00000105401
POMP	51371	ENSG00000132963
SNTG2	54221	ENSG00000172554
SLC24A3	57419	ENSG00000185052
ASRGL1	80150	ENSG00000162174
TNFSF11	8600	ENSG00000120659
hRANKL 3	8600	ENSG00000120659
SELENOP	6414	ENSG00000250722
CHL1	10752	ENSG00000134121
MAFB	9935	ENSG00000204103
LPIN3	64900	ENSG00000132793
DCAF15	90379	ENSG00000288453
ZNF823	55552	ENSG00000197933
TRMT2A	27037	ENSG00000099899
ZNF440	126070	ENSG00000171295
TPP2	7174	ENSG00000134900
CSTF2T	23283	ENSG00000177613
RFX1	5989	ENSG00000288283
PCGF5	84333	ENSG00000180628
CLEC4E	26253	ENSG00000166523
ZNF441	126068	ENSG00000197044
ELP4	26610	ENSG00000109911
SPIN1	10927	ENSG00000106723
SPIN	10927	ENSG00000106723
EFCAB11	90141	ENSG00000140025
POP1	10940	ENSG00000104356
COLEC11	78989	ENSG00000118004
ARHGAP19	84986	ENSG00000213390
CHD6	84181	ENSG00000124177
SECISBP2	79048	ENSG00000187742
TAS2R50	259296	ENSG00000212126
DDX39A	10212	ENSG00000123136
ATP7B	540	ENSG00000123191
RIMKLB	57494	ENSG00000166532
RLN3	117579	ENSG00000288474
IL27RA	9466	ENSG00000288185
ATAD1	84896	ENSG00000283024
PALM3	342979	ENSG00000288318
ERICH5	203111	ENSG00000177459
ETV6	2120	ENSG00000139083
NDUFS4	4724	ENSG00000164258
RIN3	79890	ENSG00000100599
MISP3	113230	ENSG00000288191
RANBP1	5902	ENSG00000099901
KRTAP8-1	337879	ENSG00000183640
C19orf67	646457	ENSG00000288239
KLLN	100144748	ENSG00000283059
CLEC1A	51267	ENSG00000150048
SLPI	6590	ENSG00000124107
KRTAP7-1	337878	ENSG00000274749
KRTAP11-1	337880	ENSG00000182591
HMG20A	10363	ENSG00000140382
KRTAP19-8	728299	ENSG00000206102
MRPS28	28957	ENSG00000147586
DPCD	25911	ENSG00000166171
SOD1	6647	ENSG00000142168
HEL-S-44	6647	ENSG00000142168
WFDC2	10406	ENSG00000101443
STARD4	134429	ENSG00000164211
DCAF4L2	138009	ENSG00000176566
SAMD1	90378	ENSG00000288488
PRKACA	5566	ENSG00000288516
SLCO5A1	81796	ENSG00000137571
TAS2R46	259292	ENSG00000226761
CLEC9A	283420	ENSG00000197992
DOP1B	9980	ENSG00000142197
ADGRE5	976	ENSG00000123146
SPINT3	10816	ENSG00000101446
ADAMTSL2	9719	ENSG00000197859
WFDC6	140870	ENSG00000243543
HEL-S-295	140870	ENSG00000243543
LRP6	4040	ENSG00000070018
EPPIN-WFDC6	100526773	ENSG00000249139
EPPIN	100526773	ENSG00000249139
GNPNAT1	64841	ENSG00000100522
RNASEH1	246243	ENSG00000171865
EPPIN	57119	ENSG00000101448
SPINLW1	57119	ENSG00000101448
UBL7	84993	ENSG00000138629
POLL	27343	ENSG00000166169
PRAMEF27	101929983	ENSG00000283425
ZDHHC8	29801	ENSG00000099904
ASF1B	55723	ENSG00000288210
HNRNPCL3	649330	ENSG00000283292
WFDC3	140686	ENSG00000124116
PRAMEF25	441873	ENSG00000283348
PRAMEF25	645359	ENSG00000283348
DYNC1LI1	51143	ENSG00000144635
GPR82	27197	ENSG00000171657
TGS1	96764	ENSG00000137574
ADGRL1	22859	ENSG00000288324
COX7B	1349	ENSG00000131174
HNRNPCL2	440563	ENSG00000283370
LINC02218	102723526	ENSG00000249662
TMEM18	129787	ENSG00000151353
PCSK1	5122	ENSG00000175426
SSX3	10214	ENSG00000165584
ZNF706	51123	ENSG00000120963
CCDC188	388849	ENSG00000234409
HNRNPCL4	101060301	ENSG00000283231
PRAMEF9	343070	ENSG00000283139
HIRA	7290	ENSG00000100084
IF1AA3	3446	ENSG00000186803
IFNA10	3446	ENSG00000186803
COL27A1	85301	ENSG00000196739
PRAMEF5	343068	ENSG00000283150
SSX4	6759	ENSG00000268009
DNTTIP1	116092	ENSG00000101457
ZNF491	126069	ENSG00000177599
RPS7	6201	ENSG00000171863
ERVH48-1	90625	ENSG00000233056
LIPI	149998	ENSG00000188992
DAD1	1603	ENSG00000129562
ABTB2	25841	ENSG00000166016
SYDE1	85360	ENSG00000105137
KRTAP10-9	386676	ENSG00000221837
PRAMEF8	391002	ENSG00000283387
PRMT2	3275	ENSG00000160310
AARS2	57505	ENSG00000124608
YWHAZ	7534	ENSG00000164924
FTSJ1	24140	ENSG00000068438
PRAMEF33	645382	ENSG00000283488
OXA1L	5018	ENSG00000155463
GDF3	9573	ENSG00000184344
SMIM10L1	100129361	ENSG00000256537
C3orf20	84077	ENSG00000131379
GABARAPL1	23710	ENSG00000139112
CCDC105	126402	ENSG00000160994
C5orf21	83989	ENSG00000113391
FAM172A	83989	ENSG00000113391
KCNIP4	80333	ENSG00000185774
ADGRE2	30817	ENSG00000127507
OR10V1	390201	ENSG00000172289
EBP	10682	ENSG00000147155
ARHGAP1	392	ENSG00000175220
MSGN1	343930	ENSG00000151379
UBE2C	11065	ENSG00000175063
SGPP1	81537	ENSG00000285281
MOCOS	55034	ENSG00000075643
CD24	100133941	ENSG00000272398
FAM204A	63877	ENSG00000165669
SMC6	79677	ENSG00000163029
LRP10	26020	ENSG00000197324
ASB9	140462	ENSG00000102048
DMGDH	29958	ENSG00000132837
CEP85L	387119	ENSG00000111860
ANP32A	8125	ENSG00000140350
DGCR8	54487	ENSG00000128191
NETO1	81832	ENSG00000166342
REM2	161253	ENSG00000139890
ASB11	140456	ENSG00000165192
DEPDC7	91614	ENSG00000121690
ZCWPW2	152098	ENSG00000206559
RBM23	55147	ENSG00000100461
RPL35	11224	ENSG00000136942
FBXW4	6468	ENSG00000107829
TNNC2	7125	ENSG00000101470
CHRNA9	55584	ENSG00000174343
BRD3	8019	ENSG00000169925
SLC6A11	6538	ENSG00000132164
ZSWIM1	90204	ENSG00000168612
UFD1	7353	ENSG00000070010
ufd1	7353	ENSG00000070010
CSE1L	1434	ENSG00000124207
CMYA5	202333	ENSG00000164309
PATL1	219988	ENSG00000166889
HOPX	84525	ENSG00000171476
PIGA	5277	ENSG00000165195
ZRANB1	54764	ENSG00000019995
CNDP2	55748	ENSG00000133313
NEUROD2	4761	ENSG00000171532
TCN1	6947	ENSG00000134827
